Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,PostId,TagId,Id,TagName,Count,ExcerptPostId,WikiPostId
"8881291","1","8881376","","2012-01-16 14:20:42","","3478","409631","<p>In Swing, the password field has a <code>getPassword()</code> (returns <code>char[]</code>) method instead of the usual <code>getText()</code> (returns <code>String</code>) method. Similarly, I have come across a suggestion not to use <code>String</code> to handle passwords.</p>

<p>Why does <code>String</code> pose a threat to security when it comes to passwords?
It feels inconvenient to use <code>char[]</code>.</p>
","953140","","3980929","","2017-01-13 11:48:09","2020-04-24 12:23:57","Why is char[] preferred over String for passwords?","<java><string><security><passwords><char>","17","0","946","","","CC BY-SA 3.0","8881291","17","17","java","1715860","3624966","3607018"
"1066589","1","1066603","","2009-06-30 23:24:14","","3422","3831622","<p>What's the best way to iterate over the items in a <a href=""https://docs.oracle.com/javase/10/docs/api/java/util/HashMap.html"" rel=""noreferrer""><code>HashMap</code></a>?</p>
","84916","","10795151","","2019-10-29 16:00:24","2019-11-08 08:09:08","Iterate through a HashMap","<java><loops><hashmap><iteration>","7","2","992","2019-11-08 08:09:16","","CC BY-SA 4.0","1066589","17","17","java","1715860","3624966","3607018"
"46898","1","46908","","2008-09-05 21:12:48","","3389","2535988","<p>If I have an object implementing the <code>Map</code> interface in Java and I wish to iterate over every pair contained within it,  what is the most efficient way of going through the map?</p>

<p>Will the ordering of elements depend on the specific map implementation that I have for the interface?</p>
","4807","iMack","655667","","2020-03-08 06:31:13","2020-09-15 22:53:49","How do I efficiently iterate over each entry in a Java Map?","<java><dictionary><collections><iteration>","44","2","856","","","CC BY-SA 4.0","46898","17","17","java","1715860","3624966","3607018"
"6470651","1","6471947","","2011-06-24 16:11:52","","3288","650436","<p>I just had an interview, and I was asked to create a <strong><em>memory leak</em></strong> with Java.<br>
Needless to say, I felt pretty dumb having no clue on how to even start creating one.</p>

<p>What would an example be?</p>
","465179","","1943863","","2019-12-26 09:15:59","2020-08-28 18:33:03","How to create a memory leak in Java?","<java><memory><memory-leaks>","59","35","1877","","2011-07-22 10:24:44","CC BY-SA 4.0","6470651","17","17","java","1715860","3624966","3607018"
"215497","1","215505","","2008-10-18 19:53:12","","3241","2169288","<p>In Java, are there clear rules on when to use each of access modifiers, namely the default (package private), <code>public</code>, <code>protected</code> and <code>private</code>, while making <code>class</code> and <code>interface</code> and dealing with inheritance?</p>
","625","","1063716","","2018-09-11 14:54:49","2020-09-12 07:33:10","What is the difference between public, protected, package-private and private in Java?","<java><private><public><protected><access-modifiers>","29","17","1360","","","CC BY-SA 4.0","215497","17","17","java","1715860","3624966","3607018"
"322715","1","322742","","2008-11-27 01:36:35","","3164","1081864","<p>I've always been one to simply use:</p>

<pre><code>List&lt;String&gt; names = new ArrayList&lt;&gt;();
</code></pre>

<p>I use the interface as the type name for <em>portability</em>, so that when I ask questions such as these I can rework my code.  </p>

<p>When should <a href=""https://docs.oracle.com/javase/9/docs/api/java/util/LinkedList.html"" rel=""noreferrer""><code>LinkedList</code></a> be used over <a href=""https://docs.oracle.com/javase/9/docs/api/java/util/ArrayList.html"" rel=""noreferrer""><code>ArrayList</code></a> and vice-versa?</p>
","41200","sdellysse","1063716","Rob","2018-09-11 14:53:43","2020-09-04 18:04:12","When to use LinkedList over ArrayList in Java?","<java><arraylist><collections><linked-list>","33","2","1515","","","CC BY-SA 4.0","322715","17","17","java","1715860","3624966","3607018"
"5585779","1","5585800","","2011-04-07 18:27:54","","3092","6062401","<p>How can I convert a <code>String</code> to an <code>int</code> in Java?</p>

<p>My String contains only numbers, and I want to return the number it represents.</p>

<p>For example, given the string <code>""1234""</code> the result should be the number <code>1234</code>.</p>
","537967","","63550","user166390","2018-01-17 23:49:28","2020-09-15 22:58:54","How do I convert a String to an int in Java?","<java><string><int><type-conversion>","46","3","519","","","CC BY-SA 3.0","5585779","17","17","java","1715860","3624966","3607018"
"285793","1","285809","","2008-11-12 23:24:56","","3047","926735","<p>Eclipse issues warnings when a <code>serialVersionUID</code> is missing.  </p>

<blockquote>
  <p>The serializable class Foo does not declare a static final
  serialVersionUID field of type long</p>
</blockquote>

<p>What is <code>serialVersionUID</code> and why is it important?  Please show an example where missing <code>serialVersionUID</code> will cause a problem.</p>
","33203","askgelal","260990","","2015-03-17 22:44:09","2020-06-22 10:46:07","What is a serialVersionUID and why should I use it?","<java><serialization><serialversionuid>","26","1","748","","","CC BY-SA 3.0","285793","17","17","java","1715860","3624966","3607018"
"1005073","1","1005083","","2009-06-17 04:10:20","","2824","3041250","<p>I wanted to create a list of options for testing purposes. At first, I did this:</p>

<pre><code>ArrayList&lt;String&gt; places = new ArrayList&lt;String&gt;();
places.add(""Buenos Aires"");
places.add(""Córdoba"");
places.add(""La Plata"");
</code></pre>

<p>Then, I refactored the code as follows:</p>

<pre><code>ArrayList&lt;String&gt; places = new ArrayList&lt;String&gt;(
    Arrays.asList(""Buenos Aires"", ""Córdoba"", ""La Plata""));
</code></pre>

<p>Is there a better way to do this?</p>
","119895","","5180017","","2019-11-21 09:48:28","2020-05-17 11:10:58","Initialization of an ArrayList in one line","<java><collections><arraylist><initialization>","31","8","585","","","CC BY-SA 4.0","1005073","17","17","java","1715860","3624966","3607018"
"34571","1","34658","","2008-08-29 16:11:09","","2792","910269","<p>How do I unit test (using xUnit) a class that has internal private methods, fields or nested classes? Or a function that is made private by having <a href=""https://stackoverflow.com/questions/1358400/what-is-external-linkage-and-internal-linkage"">internal linkage</a> (<code>static</code> in C/C++) or is in a private (<a href=""https://stackoverflow.com/questions/154469/unnamed-anonymous-namespaces-vs-static-functions"">anonymous</a>) namespace?</p>

<p>It seems bad to change the access modifier for a method or function just to be able to run a test. </p>
","3098","MattGrommes","558366","Philippe ","2019-10-15 15:07:13","2020-07-24 07:46:22","How do I test a private function or a class that has private methods, fields or inner classes?","<java><unit-testing><tdd>","55","27","860","","2013-04-10 20:46:28","CC BY-SA 3.0","34571","17","17","java","1715860","3624966","3607018"
"21947452","1","21947627","","2014-02-21 23:45:43","","2775","237382","<p>I generated two matrices of <code>1000</code> x <code>1000</code>:</p>

<p>First Matrix: <code>O</code> and <code>#</code>.<br>
Second Matrix: <code>O</code> and <code>B</code>.</p>

<p>Using the following code, the first matrix took 8.52 seconds to complete:</p>

<pre><code>Random r = new Random();
for (int i = 0; i &lt; 1000; i++) {
    for (int j = 0; j &lt; 1000; j++) {
        if(r.nextInt(4) == 0) {
            System.out.print(""O"");
        } else {
            System.out.print(""#"");
        }
    }

   System.out.println("""");
 }
</code></pre>

<p>With this code, the second matrix took 259.152 seconds to complete:</p>

<pre><code>Random r = new Random();
for (int i = 0; i &lt; 1000; i++) {
    for (int j = 0; j &lt; 1000; j++) {
        if(r.nextInt(4) == 0) {
            System.out.print(""O"");
        } else {
            System.out.print(""B""); //only line changed
        }
    }

    System.out.println("""");
}
</code></pre>

<p>What is the reason behind the dramatically different run times?</p>

<hr>

<p>As suggested in the comments, printing only <code>System.out.print(""#"");</code> takes <code>7.8871</code> seconds, whereas <code>System.out.print(""B"");</code> gives <code>still printing...</code>.</p>

<p>As others who pointed out that it works for them normally, I tried <a href=""http://ideone.com"" rel=""noreferrer"">Ideone.com</a> for instance, and both pieces of code execute at the same speed.</p>

<p>Test Conditions:</p>

<ul>
<li>I ran this test from <em>Netbeans 7.2</em>, with the output into its console</li>
<li>I used <code>System.nanoTime()</code> for measurements</li>
</ul>
","1732709","","3669624","","2018-04-06 08:01:23","2020-03-03 06:14:58","Why is printing ""B"" dramatically slower than printing ""#""?","<java><performance><loops><for-loop><system.out>","3","10","475","","","CC BY-SA 3.0","21947452","17","17","java","1715860","3624966","3607018"
"574594","1","574650","","2009-02-22 08:43:45","","2464","1374157","<p>I want to package my project in a single executable JAR for distribution.</p>

<p>How can I make a Maven project package all dependency JARs into my output JAR?</p>
","67219","soemirno","5321363","","2018-05-31 01:59:39","2020-06-25 12:33:31","How can I create an executable JAR with dependencies using Maven?","<java><maven-2><build-process><build-automation><executable-jar>","31","4","882","","","CC BY-SA 4.0","574594","17","17","java","1715860","3624966","3607018"
"6343166","1","6343299","","2011-06-14 12:02:00","","2444","1243755","<p>I got an error while running my Android project for RssReader. </p>

<p>Code:</p>

<pre><code>URL url = new URL(urlToRssFeed);
SAXParserFactory factory = SAXParserFactory.newInstance();
SAXParser parser = factory.newSAXParser();
XMLReader xmlreader = parser.getXMLReader();
RssHandler theRSSHandler = new RssHandler();
xmlreader.setContentHandler(theRSSHandler);
InputSource is = new InputSource(url.openStream());
xmlreader.parse(is);
return theRSSHandler.getFeed();
</code></pre>

<p>And it shows the below error:</p>

<pre><code>android.os.NetworkOnMainThreadException
</code></pre>

<p>How can I fix this issue?</p>
","797593","","6717610","","2019-12-11 06:51:59","2020-08-14 14:19:43","How to fix 'android.os.NetworkOnMainThreadException'?","<java><android><android-networking><networkonmainthread>","59","8","517","","","CC BY-SA 4.0","6343166","17","17","java","1715860","3624966","3607018"
"65035","1","65049","","2008-09-15 17:43:54","","2419","513317","<p>Considering this code, can I be <em>absolutely sure</em> that the <code>finally</code> block always executes, no matter what <code>something()</code> is?</p>

<pre><code>try {  
    something();  
    return success;  
}  
catch (Exception e) {   
    return failure;  
}  
finally {  
    System.out.println(""I don't know if this will get printed out"");
}
</code></pre>
","885027","jonny five","11754704","","2020-05-28 00:58:39","2020-05-28 00:58:39","Does a finally block always get executed in Java?","<java><error-handling><return><try-catch-finally>","49","8","501","","","CC BY-SA 4.0","65035","17","17","java","1715860","3624966","3607018"
"1128723","1","1128728","","2009-07-15 00:03:21","","2332","2024095","<p>I have a <code>String[]</code> with values like so:</p>

<pre><code>public static final String[] VALUES = new String[] {""AB"",""BC"",""CD"",""AE""};
</code></pre>

<p>Given <code>String s</code>, is there a good way of testing whether <code>VALUES</code> contains <code>s</code>?</p>
","16534","","63550","","2019-01-05 09:06:06","2020-06-17 07:34:57","How do I determine whether an array contains a particular value in Java?","<java><arrays>","29","7","399","","","CC BY-SA 4.0","1128723","17","17","java","1715860","3624966","3607018"
"285177","1","285184","","2008-11-12 20:10:19","","2310","890719","<p>Is it possible to call a constructor from another (within the same class, not from a subclass)? If yes how? And what could be the best way to call another constructor (if there are several ways to do it)?</p>
","33203","askgelal","1190","Gaius","2008-11-12 20:16:59","2020-05-09 11:16:13","How do I call one constructor from another in Java?","<java><constructor>","21","3","281","","","CC BY-SA 2.5","285177","17","17","java","1715860","3624966","3607018"
"37628","1","37632","","2008-09-01 08:39:21","","2175","898243","<p>What is reflection, and why is it useful?</p>

<p>I'm particularly interested in Java, but I assume the principles are the same in any language.</p>
","142","Lehane","2142577","Keith","2015-10-28 06:30:05","2020-03-27 20:37:23","What is reflection and why is it useful?","<java><reflection><terminology>","21","7","860","","","CC BY-SA 3.0","37628","17","17","java","1715860","3624966","3607018"
"6827752","1","","","2011-07-26 09:10:46","","2158","918557","<p>Can <a href=""https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/stereotype/Component.html"" rel=""noreferrer""><code>@Component</code></a>, <a href=""https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/stereotype/Repository.html"" rel=""noreferrer""><code>@Repository</code></a> and <a href=""https://docs.spring.io/spring-framework/docs/current/javadoc-api/org/springframework/stereotype/Service.html"" rel=""noreferrer""><code>@Service</code></a> annotations be used interchangeably in Spring or do they provide any particular functionality besides acting as a notation device?</p>

<p>In other words, if I have a Service class and I change the annotation from <code>@Service</code> to <code>@Component</code>, will it still behave the same way? </p>

<p>Or does the annotation also influence the behavior and functionality of the class?</p>
","863084","","4825845","","2020-02-17 13:10:21","2020-05-12 18:48:53","What's the difference between @Component, @Repository & @Service annotations in Spring?","<java><spring><spring-mvc><annotations>","29","3","878","","","CC BY-SA 4.0","6827752","17","17","java","1715860","3624966","3607018"
"541487","1","541506","","2009-02-12 14:28:46","","2158","695019","<p>From what time I've spent with threads in Java, I've found these two ways to write threads:</p>

<p>With <code>implements Runnable</code>:</p>

<pre><code>public class MyRunnable implements Runnable {
    public void run() {
        //Code
    }
}
//Started with a ""new Thread(new MyRunnable()).start()"" call
</code></pre>

<p>Or, with <code>extends Thread</code>:</p>

<pre><code>public class MyThread extends Thread {
    public MyThread() {
        super(""MyThread"");
    }
    public void run() {
        //Code
    }
}
//Started with a ""new MyThread().start()"" call
</code></pre>

<p>Is there any significant difference in these two blocks of code ?</p>
","65374","","1063716","Jon Skeet","2018-09-11 14:56:19","2020-07-06 21:54:25","""implements Runnable"" vs ""extends Thread"" in Java","<java><multithreading><runnable><implements><java-threads>","42","13","789","","","CC BY-SA 4.0","541487","17","17","java","1715860","3624966","3607018"
"1200621","1","1200646","","2009-07-29 14:22:27","","2111","4606515","<p>How do I declare and initialize an array in Java?</p>
","40842","","5860344","","2019-11-21 16:58:12","2020-07-21 14:00:46","How do I declare and initialize an array in Java?","<java><arrays>","28","1","357","","","CC BY-SA 3.0","1200621","17","17","java","1715860","3624966","3607018"
"156503","1","156528","","2008-10-01 06:56:08","","2038","1321863","<p>How can I use JUnit4 idiomatically to test that some code throws an exception?</p>

<p>While I can certainly do something like this:</p>

<pre><code>@Test
public void testFooThrowsIndexOutOfBoundsException() {
  boolean thrown = false;

  try {
    foo.doStuff();
  } catch (IndexOutOfBoundsException e) {
    thrown = true;
  }

  assertTrue(thrown);
}
</code></pre>

<p>I recall that there is an annotation or an Assert.xyz or <em>something</em> that is far less kludgy and far more in-the-spirit of JUnit for these sorts of situations.</p>
","1666","SCdF","1707091","","2013-11-15 20:28:12","2020-06-24 20:27:47","How do you assert that a certain exception is thrown in JUnit 4 tests?","<java><exception><junit><junit4><assert>","34","4","361","","","CC BY-SA 3.0","156503","17","17","java","1715860","3624966","3607018"
"604424","1","604426","","2009-03-02 22:56:34","","2031","1166838","<p>Say I have an enum which is just</p>

<pre><code>public enum Blah {
    A, B, C, D
}
</code></pre>

<p>and I would like to find the enum value of a string, for example <code>""A""</code> which would be <code>Blah.A</code>. How would it be possible to do this?</p>

<p>Is the <code>Enum.valueOf()</code> the method I need? If so, how would I use this?</p>
","50913","Malachi","1063716","cletus","2018-09-11 14:59:18","2020-03-31 06:11:37","How to get an enum value from a string value in Java?","<java><enums>","27","0","316","","","CC BY-SA 4.0","604424","17","17","java","1715860","3624966","3607018"
"409784","1","409795","","2009-01-03 20:39:39","","1987","2353686","<p>In Java, arrays don't override <code>toString()</code>, so if you try to print one directly, you get the <code>className</code> + '@' + the hex of the <a href=""https://en.wikipedia.org/wiki/Java_hashCode()"" rel=""noreferrer""><code>hashCode</code></a> of the array, as defined by <code>Object.toString()</code>:</p>

<pre><code>int[] intArray = new int[] {1, 2, 3, 4, 5};
System.out.println(intArray);     // prints something like '[I@3343c8b3'
</code></pre>

<p>But usually, we'd actually want something more like <code>[1, 2, 3, 4, 5]</code>. What's the simplest way of doing that? Here are some example inputs and outputs:</p>

<pre><code>// Array of primitives:
int[] intArray = new int[] {1, 2, 3, 4, 5};
//output: [1, 2, 3, 4, 5]

// Array of object references:
String[] strArray = new String[] {""John"", ""Mary"", ""Bob""};
//output: [John, Mary, Bob]
</code></pre>
","12149","","265140","","2019-07-07 14:58:50","2020-09-20 21:47:55","What's the simplest way to print a Java array?","<java><arrays><printing>","31","7","480","","","CC BY-SA 4.0","409784","17","17","java","1715860","3624966","3607018"
"2793150","1","2793153","","2010-05-08 06:16:11","","1968","1042183","<p>Use of <a href=""http://docs.oracle.com/javase/8/docs/api/java/net/URLConnection.html"" rel=""noreferrer""><code>java.net.URLConnection</code></a> is asked about pretty often here, and the <a href=""http://download.oracle.com/javase/tutorial/networking/urls/connecting.html"" rel=""noreferrer"">Oracle tutorial</a> is <em>too</em> concise about it. </p>

<p>That tutorial basically only shows how to fire a GET request and read the response. It doesn't explain anywhere how to use it to among others perform a POST request, set request headers, read response headers, deal with cookies, submit a HTML form, upload a file, etc. </p>

<p>So, how can I use <code>java.net.URLConnection</code> to fire and handle ""advanced"" HTTP requests?</p>
","157882","","1943863","","2019-12-26 09:17:05","2020-09-06 13:27:02","How to use java.net.URLConnection to fire and handle HTTP requests?","<java><http><httprequest><httpurlconnection><urlconnection>","11","0","1340","","2010-05-08 06:16:11","CC BY-SA 4.0","2793150","17","17","java","1715860","3624966","3607018"
